name,mass,radius,habital_zone_distance
Kepler-355 b,3.14,1.46,-2.35
Kepler-190 c,3.14,1.46,-2.27
Kepler-389 c,3.14,1.46,-2.13
Kepler-175 b,3.15,2.55,-2.32
Kepler-171 c,3.15,2.55,-2.22
Kepler-203 b,3.19,2.56,-2.41
Kepler-313 c,3.19,2.56,-2.2
Kepler-245 b,3.19,2.56,-2.19
Kepler-241 c,3.19,2.56,-1.62
Kepler-292 c,3.22,1.47,-2.3
Kepler-137 b,3.22,1.47,-2.19
Kepler-182 b,3.24,2.58,-2.38
Kepler-60 d,3.24,2.58,-2.36
Kepler-80 c,3.24,2.58,-2.02
Kepler-49 c,3.24,2.58,-1.77
Kepler-169 f,3.24,2.58,-1.26
Kepler-194 c,3.28,2.59,-2.28
Kepler-265 e,3.28,2.59,-1.92
Kepler-218 b,3.31,1.48,-2.35
Kepler-208 e,3.31,1.48,-2.33
Kepler-123 c,3.31,1.48,-2.25
Kepler-115 c,3.33,2.6,-2.36
Kepler-84 e,3.33,2.6,-2.18
Kepler-122 e,3.33,2.6,-2.16
Kepler-176 c,3.33,2.6,-2.16
Kepler-214 b,3.38,2.61,-2.35
Kepler-257 b,3.38,2.61,-2.33
Kepler-242 b,3.38,2.61,-2.18
Kepler-344 b,3.38,2.61,-2.17
Kepler-284 c,3.38,2.61,-1.92
Kepler-400 c,3.4,1.49,-2.27
Kepler-174 c,3.4,1.49,-1.52
Kepler-319 c,3.47,2.63,-2.29
Kepler-265 c,3.47,2.63,-2.26
Kepler-221 e,3.47,2.63,-2.06
Kepler-207 c,3.49,1.5,-2.44
Kepler-273 b,3.49,1.5,-2.37
Kepler-180 b,3.49,1.5,-2.27
Kepler-246 c,3.49,1.5,-2.15
Kepler-80 e,3.49,1.5,-2.14
HD 40307 e,3.5,1.5,-1.69
HD 85512 b,3.5,1.5,-1.09
Kepler-299 c,3.52,2.64,-2.32
Kepler-253 c,3.52,2.64,-2.16
Kepler-375 c,3.52,2.64,-2.16
Kepler-127 d,3.52,2.64,-2.14
Kepler-346 b,3.57,2.65,-2.38
Kepler-127 c,3.57,2.65,-2.25
KIC-10905746 b,3.57,2.65,-1.88
Kepler-194 b,3.59,1.51,-2.45
Kepler-389 b,3.59,1.51,-2.32
Kepler-205 b,3.59,1.51,-2.14
Kepler-249 c,3.59,1.51,-1.75
Kepler-187 c,3.62,2.67,-2.37
Kepler-292 e,3.62,2.67,-2.16
Kepler-263 b,3.62,2.67,-2.08
Kepler-357 c,3.62,2.67,-2.05
Kepler-288 d,3.62,2.67,-1.99
Kepler-90 e,3.62,2.67,-1.83
Kepler-228 b,3.69,1.52,-2.44
Kepler-348 b,3.69,1.52,-2.42
Kepler-126 b,3.69,1.52,-2.4
Kepler-147 b,3.69,1.52,-2.36
Kepler-326 b,3.69,1.52,-2.31
Kepler-306 b,3.69,1.52,-2.21
Kepler-120 c,3.69,1.52,-1.75
Kepler-54 d,3.69,1.52,-1.3
Kepler-168 c,3.72,2.69,-2.35
HD 39194 b,3.72,1.53,-2.25
Kepler-49 b,3.72,2.69,-1.89
KIC-12454613 b,3.72,2.69,1.54
Kepler-228 c,3.77,2.7,-2.41
Kepler-259 c,3.77,2.7,-2.04
Kepler-290 c,3.77,2.7,-1.77
Kepler-337 b,3.78,1.53,-2.42
Kepler-160 b,3.78,1.53,-2.38
Kepler-274 b,3.78,1.53,-2.32
