DATE,DEXUSUK
2017-04-26,1.2814000000000000
2017-05-03,1.2916200000000000
2017-05-10,1.2936000000000000
2017-05-17,1.2907600000000000
2017-05-24,1.2990400000000000
2017-05-31,1.2878000000000000
2017-06-07,1.2907600000000000
2017-06-14,1.2776200000000000
2017-06-21,1.2716800000000000
2017-06-28,1.2769000000000000
2017-07-05,1.2966000000000000
2017-07-12,1.2894200000000000
2017-07-19,1.3024000000000000
2017-07-26,1.3013200000000000
2017-08-02,1.3165400000000000
2017-08-09,1.3033200000000000
2017-08-16,1.2932600000000000
2017-08-23,1.2851800000000000
2017-08-30,1.2894600000000000
2017-09-06,1.2986500000000000
2017-09-13,1.3195200000000000
2017-09-20,1.3508400000000000
2017-09-27,1.3477400000000000
2017-10-04,1.3324800000000000
2017-10-11,1.3155000000000000
2017-10-18,1.3225600000000000
2017-10-25,1.3187400000000000
2017-11-01,1.3204400000000000
2017-11-08,1.3108000000000000
2017-11-15,1.3131750000000000
2017-11-22,1.3236600000000000
2017-11-29,1.3334000000000000
2017-12-06,1.3461600000000000
2017-12-13,1.3370000000000000
2017-12-20,1.3383600000000000
2017-12-27,1.3380750000000000
2018-01-03,1.3524250000000000
2018-01-10,1.3539600000000000
2018-01-17,1.3707500000000000
2018-01-24,1.3971200000000000
2018-01-31,1.4159800000000000
2018-02-07,1.4045400000000000
2018-02-14,1.3875200000000000
2018-02-21,1.4020750000000000
2018-02-28,1.3914000000000000
2018-03-07,1.3830800000000000
2018-03-14,1.3903600000000000
2018-03-21,1.3995800000000000
2018-03-28,1.4151200000000000
2018-04-04,1.4046400000000000
2018-04-11,1.4114000000000000
2018-04-18,1.4271800000000000
2018-04-25,1.4019000000000000
2018-05-02,1.3736800000000000
2018-05-09,1.3551800000000000
2018-05-16,1.3524200000000000
2018-05-23,1.3437400000000000
2018-05-30,1.3314750000000000
2018-06-06,1.3350000000000000
2018-06-13,1.3402600000000000
2018-06-20,1.3249600000000000
2018-06-27,1.3232800000000000
2018-07-04,1.3149750000000000
2018-07-11,1.3239800000000000
2018-07-18,1.3180200000000000
2018-07-25,1.3098200000000000
2018-08-01,1.3124400000000000
2018-08-08,1.2968000000000000
2018-08-15,1.2763800000000000
2018-08-22,1.2798400000000000
2018-08-29,1.2894200000000000
2018-09-05,1.2924250000000000
2018-09-12,1.2987400000000000
2018-09-19,1.3130800000000000
2018-09-26,1.3155200000000000
2018-10-03,1.3033200000000000
2018-10-10,1.3115000000000000
2018-10-17,1.3172400000000000
2018-10-24,1.2992000000000000
2018-10-31,1.2794000000000000
2018-11-07,1.3035800000000000
2018-11-14,1.3034000000000000
2018-11-21,1.2803000000000000
2018-11-28,1.2777000000000000
2018-12-05,1.2755500000000000
2018-12-12,1.2653200000000000
2018-12-19,1.2624800000000000
2018-12-26,1.26690000000000000000
2019-01-02,1.2671750000000000
2019-01-09,1.2723600000000000
2019-01-16,1.2806750000000000
2019-01-23,1.2966750000000000
2019-01-30,1.3113800000000000
2019-02-06,1.3040000000000000
2019-02-13,1.2902600000000000
2019-02-20,1.28953333333333333333
2019-02-27,1.3151200000000000
2019-03-06,1.3194200000000000
2019-03-13,1.3108600000000000
2019-03-20,1.3247200000000000
2019-03-27,1.3180400000000000
2019-04-03,1.3096000000000000
2019-04-10,1.3055600000000000
2019-04-17,1.3068800000000000
2019-04-24,1.2975800000000000
2019-05-01,1.2975200000000000
2019-05-08,1.3066000000000000
2019-05-15,1.2961800000000000
2019-05-22,1.2733000000000000
2019-05-29,1.2666250000000000
2019-06-05,1.2648200000000000
2019-06-12,1.2710800000000000
2019-06-19,1.2603800000000000
2019-06-26,1.2709800000000000
2019-07-03,1.2637800000000000
