DATE,DEXUSEU
2017-03-08,1.05562000000000000000
2017-03-15,1.06396000000000000000
2017-03-22,1.07688000000000000000
2017-03-29,1.08166000000000000000
2017-04-05,1.06808000000000000000
2017-04-12,1.06196000000000000000
2017-04-19,1.06656000000000000000
2017-04-26,1.08222000000000000000
2017-05-03,1.09002000000000000000
2017-05-10,1.09278000000000000000
2017-05-17,1.09960000000000000000
2017-05-24,1.11858000000000000000
2017-05-31,1.12017500000000000000
2017-06-07,1.12472000000000000000
2017-06-14,1.12164000000000000000
2017-06-21,1.11546000000000000000
2017-06-28,1.12408000000000000000
2017-07-05,1.13835000000000000000
2017-07-12,1.14084000000000000000
2017-07-19,1.14806000000000000000
2017-07-26,1.16438000000000000000
2017-08-02,1.17792000000000000000
2017-08-09,1.17788000000000000000
2017-08-16,1.17574000000000000000
