v_id,lng,lat,type,voltage,frequency,wkt_srid_4326
8833,-83.35226518,31.06796477,sub_station,,,SRID=4326;POINT(-83.3522651816331 31.0679647701692)
2993,-76.2176857,39.86591546,sub_station,,,SRID=4326;POINT(-76.2176856956146 39.8659154550939)
26014,-105.9349283,40.08880202,joint,,,SRID=4326;POINT(-105.934928339724 40.0888020152417)
31230,-110.8641431,27.93736744,joint,230000,60,SRID=4326;POINT(-110.864143075584 27.9373674392434)
12183,-85.00579061,33.03992043,sub_station,,,SRID=4326;POINT(-85.0057906063781 33.0399204257703)
14984,-82.25124248,33.43339001,sub_station,,,SRID=4326;POINT(-82.2512424797575 33.433390012181)
6304,-86.29396616,42.32152491,substation,,,SRID=4326;POINT(-86.2939661602223 42.3215249050466)
1861,-79.79607627,40.80165165,sub_station,,,SRID=4326;POINT(-79.7960762696961 40.8016516451649)
18113,-122.2209231,38.07858087,joint,230000;115000;230000,60,SRID=4326;POINT(-122.220923066081 38.0785808735901)
12066,-83.91497888,43.48587396,station,,,SRID=4326;POINT(-83.9149788773338 43.4858739625774)
6158,-78.56459477,36.62618661,sub_station,,,SRID=4326;POINT(-78.5645947737581 36.6261866119287)
19582,-80.22064525,26.43454042,joint,138000,,SRID=4326;POINT(-80.2206452469651 26.4345404189907)
9616,-119.9886928,36.59340787,station,,,SRID=4326;POINT(-119.988692846821 36.593407866814)
24588,-84.99523383,42.2633202,joint,,,SRID=4326;POINT(-84.9952338316994 42.2633202012693)
29266,-98.242405,19.12263237,merge,,,SRID=4326;POINT(-98.2424050029946 19.1226323667391)
15708,-104.6908086,38.41931041,substation,,,SRID=4326;POINT(-104.690808608192 38.4193104118893)
14121,-82.61969616,38.36048414,sub_station,,,SRID=4326;POINT(-82.6196961603007 38.3604841402025)
19264,-83.12019229,39.85963351,joint,345000,,SRID=4326;POINT(-83.12019228675 39.8596335088656)
17267,-79.44226552,43.99635412,substation,,,SRID=4326;POINT(-79.442265520305 43.996354124772)
713,-111.9860488,41.11570731,station,,,SRID=4326;POINT(-111.986048813853 41.1157073127301)
4660,-117.898952,33.80954084,substation,220000;66000,60,SRID=4326;POINT(-117.898951955845 33.8095408355688)
29895,-120.6225769,38.79564109,joint,230000,,SRID=4326;POINT(-120.622576948488 38.7956410913525)
1235,-101.3600707,46.8622196,substation,,,SRID=4326;POINT(-101.360070734109 46.8622195989844)
9773,-76.03859092,40.76228387,sub_station,,,SRID=4326;POINT(-76.0385909181229 40.7622838702705)
7377,-88.27348814,30.66603029,sub_station,,,SRID=4326;POINT(-88.273488137387 30.6660302894481)
29575,-75.3267205,40.27885251,merge,,,SRID=4326;POINT(-75.3267204965299 40.2788525074053)
28997,-77.70432308,37.50274141,merge,,,SRID=4326;POINT(-77.7043230776638 37.502741414972)
11499,-84.43543393,42.20323423,station,,,SRID=4326;POINT(-84.4354339300297 42.20323423268)
3318,-117.2504356,33.10112523,station,,,SRID=4326;POINT(-117.250435612394 33.1011252281661)
23342,-83.0083488,42.7608213,joint,345000,60,SRID=4326;POINT(-83.0083487999421 42.7608213006791)
2769,-78.93385066,42.97271964,sub_station,,,SRID=4326;POINT(-78.9338506600608 42.972719644054)
4485,-83.24878605,42.11604735,sub_station,,,SRID=4326;POINT(-83.2487860476637 42.116047345979)
20101,-76.42457192,37.01666968,joint,230000;115000,,SRID=4326;POINT(-76.424571917949 37.0166696768147)
28854,-101.4228106,32.27463721,merge,,,SRID=4326;POINT(-101.422810633222 32.2746372134282)
19301,-89.94476519,29.955945,joint,230000,60,SRID=4326;POINT(-89.9447651857657 29.9559449996496)
15664,-80.84994726,36.2808352,substation,,,SRID=4326;POINT(-80.8499472555084 36.2808352035091)
21541,-119.820016,34.47837407,joint,,,SRID=4326;POINT(-119.820016018309 34.4783740718095)
4649,-96.67740562,31.43759037,station,,,SRID=4326;POINT(-96.6774056198253 31.4375903686679)
19987,-94.56398089,39.12731781,joint,,,SRID=4326;POINT(-94.5639808894641 39.1273178136155)
8955,-83.0084993,42.71805159,station,,,SRID=4326;POINT(-83.0084992981681 42.7180515928257)
26522,-93.40022089,30.19443148,joint,230000,60,SRID=4326;POINT(-93.4002208949041 30.1944314780879)
14147,-85.30398472,34.35565245,station,,,SRID=4326;POINT(-85.3039847228125 34.3556524465828)
15358,-112.0139648,33.05926545,substation,,,SRID=4326;POINT(-112.013964765415 33.0592654540031)
25646,-75.33663018,40.68950061,joint,,,SRID=4326;POINT(-75.3366301825264 40.6895006109513)
20780,-72.6469401,46.472028,joint,,,SRID=4326;POINT(-72.6469401034006 46.472027997857)
23866,-86.44283082,31.33336351,joint,115000;230000,60,SRID=4326;POINT(-86.44283082349 31.3333635102438)
13436,-111.9197973,50.87243304,substation,,,SRID=4326;POINT(-111.919797253985 50.8724330396757)
13347,-113.7287096,52.30178383,sub_station,,,SRID=4326;POINT(-113.728709633704 52.3017838341328)
27740,-92.62683027,39.31253202,joint,,,SRID=4326;POINT(-92.6268302749283 39.3125320173799)
16862,-94.9657921,16.51770627,substation,,,SRID=4326;POINT(-94.9657921022167 16.5177062733093)
21580,-106.4807572,31.32384849,joint,230000,,SRID=4326;POINT(-106.480757192937 31.3238484902164)
10656,-72.72860144,41.82872112,sub_station,,,SRID=4326;POINT(-72.7286014370961 41.8287211163723)
8281,-110.8591573,40.22063958,station,,,SRID=4326;POINT(-110.85915732318 40.220639583089)
22404,-96.34480937,18.21685533,joint,400000,60,SRID=4326;POINT(-96.3448093732033 18.2168553286588)
23629,-109.8962798,32.0586444,joint,230000,60,SRID=4326;POINT(-109.896279823256 32.0586443994689)
27958,-93.73090315,37.6966854,joint,,,SRID=4326;POINT(-93.7309031477395 37.6966854002839)
4300,-69.46306634,48.34647123,substation,,,SRID=4326;POINT(-69.4630663371144 48.3464712296807)
15550,-90.71361816,33.79353693,substation,,,SRID=4326;POINT(-90.7136181631539 33.7935369344052)
15586,-97.15853571,33.16173234,substation,138000,60,SRID=4326;POINT(-97.1585357135796 33.1617323356613)
18549,-82.05086688,38.94482999,joint,,,SRID=4326;POINT(-82.0508668779494 38.9448299885861)
3392,-78.8826729,43.00142935,sub_station,,,SRID=4326;POINT(-78.8826729012116 43.0014293523679)
