l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,wkt_srid_4326
42529,4247,3106,400000,3,,60,"SRID=4326;LINESTRING(-96.3908370461202 18.2544692285055,-97.976916194445 18.8479110926338)"
875,24610,30014,,,,,"SRID=4326;LINESTRING(-86.2397092511681 43.2592800884212,-86.3409995913479 43.4342549037348)"
6879,28902,28903,345000,3,,60,"SRID=4326;LINESTRING(-88.2748101857786 43.8874351603087,-88.3185919678657 43.3569576126715)"
12865,6587,18622,,,,,"SRID=4326;LINESTRING(-87.1224505060023 37.3640990710365,-87.5219139125698 37.2786759981122)"
21059,9690,19168,230000,3;6;3;3,,60,"SRID=4326;LINESTRING(-122.755208060237 38.7787486820865,-122.75434438859 38.7543067608289)"
2661,19759,30762,220000,6,,60,"SRID=4326;LINESTRING(-116.370830909179 33.8308289203407,-116.374538228886 33.8318789682431)"
34902,4294,11953,400000,3,,60,"SRID=4326;LINESTRING(-94.3986095960308 18.0296668932883,-94.3251454977917 18.007776862862)"
9486,7892,20837,230000,3,,60,"SRID=4326;LINESTRING(-116.91537658664 46.3568995325743,-116.848529824446 45.2298496983293)"
41457,2008,2014,115000,,,,"SRID=4326;LINESTRING(-71.0138095790179 42.5083058163489,-71.0416548032225 42.5052618147981)"
42639,3223,3225,,,,,"SRID=4326;LINESTRING(-90.4738216181713 38.6865323217357,-90.4546947991458 38.5633739171004)"
38426,5862,15830,,,,,"SRID=4326;LINESTRING(-101.391696098201 36.4964315386648,-101.391660055664 36.4755914377846)"
6005,22258,28607,,,,,"SRID=4326;LINESTRING(-79.0149752511398 43.0824651569287,-79.0147723063874 43.0844901259855)"
20276,25751,25754,,3,,,"SRID=4326;LINESTRING(-75.3967932317128 40.6600604183732,-75.3982682654093 40.6522458206279)"
31019,322,7566,230000,,,,"SRID=4326;LINESTRING(-78.7497804973091 35.9505985640372,-78.8116922820543 35.9095249118377)"
40656,29513,1194,230000,3;6;3,,,"SRID=4326;LINESTRING(-122.673393570551 44.772532666749,-122.698545340996 44.7996488972478)"
18106,29920,24711,,,,,"SRID=4326;LINESTRING(-95.3081836735592 35.7637139596479,-95.2117533458969 35.7677067126995)"
19289,17747,25241,,,,,"SRID=4326;LINESTRING(-80.8022035126261 46.5831747647816,-80.9255117482476 46.5517117892965)"
1938,8413,30453,,,,,"SRID=4326;LINESTRING(-100.684202402311 32.5307321209323,-100.660665852236 32.5368152568765)"
6232,1019,28680,230000,,,,"SRID=4326;LINESTRING(-81.9953248977448 33.3197670118284,-81.7622532773644 33.1434146429701)"
12832,4948,22353,,,,,"SRID=4326;LINESTRING(-97.0456030343291 49.8440564028066,-97.0320074501516 49.8705406792343)"
30351,319,6894,230000,,,,"SRID=4326;LINESTRING(-78.9518860621573 35.6322294025726,-78.837791151286 35.5763274948818)"
1219,1942,30153,230000,,,,"SRID=4326;LINESTRING(-76.2582719191642 36.8193698095309,-76.2729300342832 36.8324328441081)"
8036,2796,29368,500000,3,,,"SRID=4326;LINESTRING(-120.932648126093 44.2256000650592,-120.853780240336 43.7204005608479)"
13055,18678,18668,,,,,"SRID=4326;LINESTRING(-83.175182926362 37.2450050046523,-83.2454488783912 37.2894240061759)"
36604,14001,14015,,,,,"SRID=4326;LINESTRING(-82.401402828339 34.7846365322399,-82.3422182632 34.816103806711)"
31854,3135,8363,161000;735000,6;3,,,"SRID=4326;LINESTRING(-71.2865337198999 48.375885515601,-72.713458544848 48.6657057590063)"
7737,2656,29257,500000,3,2,60,"SRID=4326;LINESTRING(-112.852132167522 33.3458527627282,-112.861050876618 33.3458220626378)"
30225,6724,6771,500000,,,,"SRID=4326;LINESTRING(-84.2134944414856 33.9326061528798,-84.1779999655285 33.9407345989571)"
36086,13410,13443,230000,3,,,"SRID=4326;LINESTRING(-64.088511022165 44.6443319952556,-64.3318675369029 44.5584199326372)"
34894,4167,11949,230000,3,,60,"SRID=4326;LINESTRING(-82.6510412995667 28.059525559286,-82.6188881374052 28.0625153675751)"
18609,12075,24921,,,,,"SRID=4326;LINESTRING(-96.5910991809347 34.77580048024,-96.5916413502829 34.7755412590353)"
446,20964,29829,230000,3;6,,,"SRID=4326;LINESTRING(-71.0344791702713 46.8084603825667,-71.1107985542613 46.7753285784466)"
33556,10162,10163,230000,3,,60,"SRID=4326;LINESTRING(-85.2932800852963 34.0126246139327,-85.2888375107678 33.9962367208641)"
34014,9174,10747,138000,3,,60,"SRID=4326;LINESTRING(-87.9718516459153 39.5449792178137,-88.0566665995484 39.7991385018265)"
7317,22678,29098,500000,,,,"SRID=4326;LINESTRING(-85.7482428456884 34.8800295702507,-85.7552934980321 34.8835116104061)"
29413,4394,5791,,,,,"SRID=4326;LINESTRING(-78.7145870367214 43.1476315434797,-78.7159583268255 43.13808225279)"
15774,23644,23645,230000,3,,60,"SRID=4326;LINESTRING(-119.89367751228 36.5937546544336,-119.893660084964 36.5939576836728)"
42387,2943,2944,230000,,,,"SRID=4326;LINESTRING(-74.2379425149884 40.5909800677622,-74.2521514469207 40.5607368157584)"
33238,23775,9848,230000,3,,60,"SRID=4326;LINESTRING(-79.5520351997074 34.6894396185927,-79.5416023223471 34.679433587319)"
27529,20958,3512,230000,3,,,"SRID=4326;LINESTRING(-104.700549175565 39.6317624565607,-104.577349818568 39.6388031915372)"
40395,29210,933,,,,,"SRID=4326;LINESTRING(-90.4493363484093 41.5411349703604,-90.457252406903 41.5410873991581)"
924,14165,30034,,,,,"SRID=4326;LINESTRING(-74.2562776785416 41.1564075636995,-74.257841806056 41.1529984355616)"
35226,6794,12405,,,,,"SRID=4326;LINESTRING(-87.1901111871397 30.7797285168749,-87.4541221904708 30.9233006611923)"
4646,2902,29604,138000,,,,"SRID=4326;LINESTRING(-75.0446634334843 39.9658084147949,-74.9688628524851 39.9975745458588)"
26319,638,19788,230000,6,1,,"SRID=4326;LINESTRING(-76.8274250465693 39.1941146324645,-76.8312975477319 39.18847228633)"
29724,6132,6154,230000,,,,"SRID=4326;LINESTRING(-78.7063963602806 36.8661079996653,-78.6000340973398 36.8095678167673)"
1218,29777,30152,115000,,,,"SRID=4326;LINESTRING(-76.291672486662 36.7591454747654,-76.2928687918828 36.7657256101859)"
10158,3936,21167,,,,,"SRID=4326;LINESTRING(-108.949269226555 25.8044794878046,-108.941363669378 25.820690500949)"
30877,7434,7435,345000,3,,60,"SRID=4326;LINESTRING(-96.0880186569478 41.1691529248718,-95.9664712271464 40.9479384507772)"
39503,3902,16987,,,,,"SRID=4326;LINESTRING(-94.8433055816106 40.3459747276456,-94.4826665353757 40.0994968393216)"
7993,15636,29356,230000,3,,,"SRID=4326;LINESTRING(-103.677396867971 40.2137414892259,-104.020868161232 39.6859863722772)"
26680,2731,18177,230000,3,,60,"SRID=4326;LINESTRING(-121.486241395289 39.5326744311122,-121.586212383374 39.5472163027552)"
2933,4035,30880,230000,,,,"SRID=4326;LINESTRING(-108.081773326969 25.4869057686371,-108.74935361767 26.0747550512735)"
758,29960,29961,500000,,,,"SRID=4326;LINESTRING(-88.393497432612 37.0167987255067,-88.3933866679523 37.0175005685824)"
582,22298,29889,,,,,"SRID=4326;LINESTRING(-77.6277960707503 43.0919085831941,-77.6465568292391 43.097075428057)"
20623,25912,25913,230000,3,,60,"SRID=4326;LINESTRING(-104.801449385582 40.0218690545239,-104.801566795389 40.0232724152216)"
25757,18105,18106,,,,,"SRID=4326;LINESTRING(-87.3293459278689 31.4992080124181,-87.3971599283301 31.4067679845373)"
33207,9805,9807,230000,3,,60,"SRID=4326;LINESTRING(-93.1594420536519 45.1904289597774,-93.0367004486505 45.3511624715149)"
9365,20767,20795,315000,3,,,"SRID=4326;LINESTRING(-72.6587984041401 46.4672378622654,-72.7017449714118 46.4474758144479)"
29967,6492,6487,,3,,60,"SRID=4326;LINESTRING(-97.0765745948177 37.3597469604751,-97.2127838004652 37.3048883015253)"
42635,3222,3224,,,,,"SRID=4326;LINESTRING(-90.4217997277 38.6877051697036,-90.402606022824 38.686555428853)"
2906,8753,30870,,3,,,"SRID=4326;LINESTRING(-113.627644910609 42.4813381116683,-113.544350272785 42.5321702097905)"
9095,18300,18305,,,,,"SRID=4326;LINESTRING(-81.0639069195713 33.7889909850619,-81.091441899997 33.660849011322)"
4309,1132,29507,,,,,"SRID=4326;LINESTRING(-85.2726008125997 34.7030442204783,-85.2801214612877 34.838742950492)"
13836,20467,22765,230000,6,,60,"SRID=4326;LINESTRING(-81.521800498106 30.2649374993848,-81.5224853736786 30.2929963200384)"
37377,19292,424,345000,6,,,"SRID=4326;LINESTRING(-112.017985270496 41.0674034050478,-111.903673092937 40.9189428379471)"
2314,25685,30620,,,,,"SRID=4326;LINESTRING(-75.3854737404806 40.6709312106061,-75.3884959796311 40.681376359263)"
25518,19411,19423,345000,3,,60,"SRID=4326;LINESTRING(-87.8842664504098 42.8247508676099,-87.8877421220756 42.8248128001395)"
41727,2298,2304,115000,3,,60,"SRID=4326;LINESTRING(-73.9378674860422 41.5643517836919,-73.8417728165621 41.5972102826092)"
548,20895,29873,230000,3,,60,"SRID=4326;LINESTRING(-78.8025934855431 36.0706170877369,-78.8328409805212 36.1346105530926)"
9366,20777,20796,,,,,"SRID=4326;LINESTRING(-72.512898886596 46.3826649877035,-72.509881176062 46.3806137047954)"
29930,7278,6435,345000,3,,60,"SRID=4326;LINESTRING(-95.117069830266 37.3045160117117,-95.6282554153476 36.8131542378939)"
16284,23880,23886,,,,,"SRID=4326;LINESTRING(-78.3261117874863 48.2130943881235,-78.3105014932996 48.2237725957847)"
29869,29272,6337,230000,3,2,60,"SRID=4326;LINESTRING(-111.298700541335 32.553989936725,-111.794745943762 32.6253014841056)"
38076,15511,15512,,,,,"SRID=4326;LINESTRING(-81.8133308021771 35.3900478017142,-81.8181295109438 35.2924259816241)"
41319,3974,1865,,,,,"SRID=4326;LINESTRING(-95.4073591473456 41.9661860512584,-95.1639011438137 41.4766164977333)"
18477,2643,24861,,,,,"SRID=4326;LINESTRING(-84.411467849684 42.2702000569864,-84.4257811729757 42.2653346062976)"
41692,29175,2276,138000,3;2;3;3;3;3;3,1,,"SRID=4326;LINESTRING(-97.1573848742371 49.8615776338777,-97.1113595763596 49.8330914812279)"
15530,5042,23564,230000,6,,,"SRID=4326;LINESTRING(-84.2404192215721 33.2488435854682,-84.2585756830174 33.3074270651496)"
16034,9817,23762,230000,3,1,60,"SRID=4326;LINESTRING(-87.4338866214553 39.7250658863907,-87.3228493117341 39.953727069489)"
28653,21761,4957,230000,,,,"SRID=4326;LINESTRING(-106.315803599733 39.1695287821582,-106.32544068361 39.1887276929245)"
35028,12142,12143,,3,,,"SRID=4326;LINESTRING(-104.653951594915 37.1323940240184,-104.834057349679 37.13522592993)"
37623,26574,15010,230000,3,,60,"SRID=4326;LINESTRING(-93.3343830982364 30.1709651224558,-93.3345982896124 30.1736948484207)"
13974,7524,22831,345000,3,,60,"SRID=4326;LINESTRING(-95.4680452801028 35.7167323211282,-95.5196297991197 35.7760016710717)"
3774,22222,31213,230000,3,1,,"SRID=4326;LINESTRING(-120.788636959993 38.7589657594282,-120.786903628513 38.7650226433706)"
15516,6315,23560,230000,3,,60,"SRID=4326;LINESTRING(-86.1495105801213 40.4663064358613,-86.2735999918921 40.4510564812269)"
13025,18658,18659,,,,,"SRID=4326;LINESTRING(-87.1008999493724 37.3636250001635,-86.9680319323288 37.3722729541382)"
14986,9745,23317,230000,3,,60,"SRID=4326;LINESTRING(-100.890966352804 35.4019339588284,-101.743045977752 35.2838468184655)"
6849,18757,28893,345000,,,,"SRID=4326;LINESTRING(-83.3515699171762 41.8865559891039,-83.3462707440233 41.8917868561791)"
6839,11538,28890,,,,,"SRID=4326;LINESTRING(-83.6293744007775 43.0267745116894,-83.630325093318 43.1583410798777)"
38764,27495,16182,230000,3;6,,60,"SRID=4326;LINESTRING(-99.539451546517 19.3622939992331,-99.2524656570153 19.4861809904116)"
10967,5699,18420,230000;115000,6,,60,"SRID=4326;LINESTRING(-97.3304540411225 41.4975155209053,-97.3280833643076 41.4698698651352)"
35772,7784,13083,115000,3,1,60,"SRID=4326;LINESTRING(-122.367250779951 47.0918068859361,-122.369843828687 47.0894511570463)"
14854,7209,23251,230000,6,,,"SRID=4326;LINESTRING(-101.922621474384 35.3102863267623,-101.920866140771 35.2915272079616)"
33300,9904,9910,230000;115000;230000,6;3,,60,"SRID=4326;LINESTRING(-79.0442943556916 33.9145386261906,-79.0595507366135 33.8600255035453)"
6050,22392,28626,345000,,,,"SRID=4326;LINESTRING(-83.4851520050391 38.7778064944192,-83.4731127736306 38.6873069384136)"
600,5942,29897,,,,,"SRID=4326;LINESTRING(-78.9503921252814 43.0228400380825,-78.9300014564441 42.9724955128165)"
27873,21207,3986,345000,,,,"SRID=4326;LINESTRING(-93.560943243457 44.775575266215,-94.0083214905333 44.1985861540227)"
30170,6709,6711,,,,,"SRID=4326;LINESTRING(-80.0655839867123 34.4429521038338,-80.1986015525404 34.4102764779155)"
33454,10071,10072,230000,3,,60,"SRID=4326;LINESTRING(-88.0365194278074 31.0194495363875,-88.0317136976063 30.9962538790378)"
32471,9003,9005,345000,3,,60,"SRID=4326;LINESTRING(-79.8081961655824 41.2914559033228,-80.0098117651793 41.5158095121984)"
40320,19532,849,230000,3;6;3,,60,"SRID=4326;LINESTRING(-122.197076388549 47.2375169841247,-122.210347682763 47.2389759692837)"
41015,1527,1528,69000,3,1,,"SRID=4326;LINESTRING(-76.443262969614 38.3705292378109,-76.4559392091958 38.3485527807661)"
2883,897,30861,230000,,,,"SRID=4326;LINESTRING(-80.376731866255 26.7095969802293,-80.327895483791 26.6758733412569)"
21347,19178,19179,230000,3,,,"SRID=4326;LINESTRING(-111.74784650337 33.3573078617368,-111.747588327557 33.3554041917358)"
41570,959,2124,230000,,,60,"SRID=4326;LINESTRING(-71.4391655637871 42.8738976352869,-71.5797795177533 43.0643185074608)"
40384,915,914,230000,3,,60,"SRID=4326;LINESTRING(-80.2988383373437 25.6325505811383,-80.3404179173949 25.6429219171747)"
25641,19486,19487,345000,3,,60,"SRID=4326;LINESTRING(-89.1612687883381 42.0704193178428,-89.1607607012135 42.0704525931043)"
32755,2039,9300,230000,6,1,60,"SRID=4326;LINESTRING(-85.8680006528401 39.2445310858298,-85.869670659692 39.1739814006987)"
375,20690,29797,230000,,,,"SRID=4326;LINESTRING(-117.206477922448 33.0939294212709,-117.199394703129 33.0801553007627)"
13073,18672,18679,,,,,"SRID=4326;LINESTRING(-83.1916158976859 37.2351519578932,-83.1750769251585 37.2447369816353)"
23555,10706,27287,230000,3,,60,"SRID=4326;LINESTRING(-82.7340823626441 27.7714412295343,-82.7039756864959 27.7710574120497)"
27443,1298,3546,230000,3,,60,"SRID=4326;LINESTRING(-80.3800767972139 25.8182772762932,-80.4355239020234 25.8133545349216)"
39584,1311,17085,,,,,"SRID=4326;LINESTRING(-92.6391845499171 39.5480344153091,-93.0478655824346 39.5104884720566)"
4310,18154,29507,,,,,"SRID=4326;LINESTRING(-85.2791358669566 34.8499929898487,-85.2801214612877 34.838742950492)"
37722,29132,15107,,6,,60,"SRID=4326;LINESTRING(-85.8874600921667 37.715255672812,-85.6853976935007 37.9763797015868)"
34682,11662,11670,,,,,"SRID=4326;LINESTRING(-95.9271880193168 40.0014157159283,-95.9349975359404 39.7537270977737)"
4082,21090,31321,,,,,"SRID=4326;LINESTRING(-66.099812688369 48.1229038710238,-66.2499589015873 48.12099959538)"
25624,12853,19477,230000,6,,,"SRID=4326;LINESTRING(-81.0144742028526 43.3495541292979,-80.9395731672215 43.3800340143887)"
31943,8412,8449,,,,,"SRID=4326;LINESTRING(-97.5469650034588 35.3452853234233,-97.548955245434 35.3851564873066)"
3013,5307,30911,,,,,"SRID=4326;LINESTRING(-81.3001632946034 37.700763368951,-81.2679717365543 37.7023503883863)"
23223,27128,27132,,,,,"SRID=4326;LINESTRING(-94.4891328108336 39.1065180873489,-94.4871645122146 39.1120351796128)"
21418,14496,26258,,6,,,"SRID=4326;LINESTRING(-82.6279786619427 34.5064939570377,-82.6197859373943 34.5020237989893)"
2103,23904,30526,,,,,"SRID=4326;LINESTRING(-99.095576537317 19.5170798294721,-99.0934651286617 19.5189281636691)"
1913,8207,30441,,3,,,"SRID=4326;LINESTRING(-110.862430056049 39.7274922517687,-110.849121978594 39.7329706790656)"
4673,8621,29612,230000,3,,60,"SRID=4326;LINESTRING(-108.516741163546 45.8267748857327,-108.591343161142 45.8570643816334)"
7176,10216,29034,230000,3,,60,"SRID=4326;LINESTRING(-90.5932731316689 30.0601028301737,-90.58910374457 30.0612150302212)"
9765,3549,20962,,,,,"SRID=4326;LINESTRING(-66.5913410188264 45.9588161047699,-66.5898215773002 45.9569784814158)"
15520,7950,18801,,3,1,60,"SRID=4326;LINESTRING(-91.5172945011131 37.6911432983488,-91.5130582021631 37.691033187799)"
10746,4293,21437,,,,,"SRID=4326;LINESTRING(-94.5234185926489 17.9804747004216,-94.5246400699114 17.9811890195628)"
9719,20939,20940,,,,,"SRID=4326;LINESTRING(-66.8673496164589 45.9629097963623,-66.8670014294547 45.9634433781247)"
22632,15756,26850,,,,,"SRID=4326;LINESTRING(-104.533049781781 38.2842758646277,-104.53451410059 38.3173580630329)"
32709,27865,9253,,3,,,"SRID=4326;LINESTRING(-91.6486922217979 41.9437452061837,-91.6498309146227 41.9385401643014)"
42745,17705,3335,,,,,"SRID=4326;LINESTRING(-71.3174546831444 46.0727301636395,-71.3423269303744 46.0752435742396)"
9471,20830,20831,,,,,"SRID=4326;LINESTRING(-70.9879685371099 46.4468028807576,-70.9877537499255 46.4468876168867)"
41780,1808,2345,,,,,"SRID=4326;LINESTRING(-75.7335060326677 45.3382647459332,-75.5164263028912 45.2634920540877)"
26656,6765,19958,,,,,"SRID=4326;LINESTRING(-63.4815268431534 44.7015520715883,-63.5564807167399 44.7406735618391)"
33233,9839,9840,230000,3,,60,"SRID=4326;LINESTRING(-79.3897642298342 34.2035331884125,-79.1435916105859 34.2460845809602)"
26751,19996,19997,,,,,"SRID=4326;LINESTRING(-66.8735510461913 46.0302329747151,-66.8460511000616 46.0184150115042)"
33199,5762,9799,230000,3,,60,"SRID=4326;LINESTRING(-92.2943249579422 46.7728369037123,-92.8206539913649 46.1255091413294)"
21438,26271,26273,,3,,,"SRID=4326;LINESTRING(-82.6943407160845 34.5432450824565,-82.693434675289 34.5418012972398)"
25631,740,19480,345000,3,,60,"SRID=4326;LINESTRING(-89.1119471075441 42.5362739193543,-89.1200573170378 42.5353137028568)"
31174,22891,7734,,6,,,"SRID=4326;LINESTRING(-119.224033593962 34.3351010880195,-119.309308386609 34.3625537503724)"
5922,27179,28574,230000;138000;138000,3,,60,"SRID=4326;LINESTRING(-80.2585144464194 25.8074022041598,-80.3119070659967 25.8310236553422)"
26861,446,20041,,,,,"SRID=4326;LINESTRING(-73.3653921642176 45.6008675453238,-73.3598837167287 45.6001471653063)"
42384,2939,2940,,,,,"SRID=4326;LINESTRING(-98.2758944785476 19.3219093353829,-98.1927484804778 19.3656286893572)"
626,6018,29909,,,,,"SRID=4326;LINESTRING(-78.4574796700737 42.0893528031441,-78.4244822342527 42.115945070209)"
42746,3319,3336,,,,,"SRID=4326;LINESTRING(-104.524485910531 48.1572846910763,-105.136287225814 48.1168279757441)"
18613,12077,24923,,,,,"SRID=4326;LINESTRING(-96.6130184627175 34.8653790550256,-96.5988320946377 34.826261870991)"
23070,21983,27065,230000,3,,60,"SRID=4326;LINESTRING(-80.3274157677005 25.8304261540077,-80.3240224715463 25.830573393125)"
6204,28663,28673,230000,3;6;3;3,,60,"SRID=4326;LINESTRING(-79.7472844305894 34.8429766832312,-79.7579346769966 34.9041228022759)"
12688,6096,22304,115000,,,,"SRID=4326;LINESTRING(-77.4326997775548 43.0872772608446,-77.4374904032608 43.0870169044148)"
12962,19245,22405,230000,3,2,60,"SRID=4326;LINESTRING(-120.942702612627 37.5707626853928,-120.938794402152 37.5662534893132)"
14011,30487,18728,,,,,"SRID=4326;LINESTRING(-86.5163270305743 38.8706507702512,-87.1300378835911 38.801452994409)"
7197,10299,29045,230000;230000;115000;230000;230000;230000,3;6;3;3;6,,60,"SRID=4326;LINESTRING(-90.324553089881 34.7877077282803,-90.2630151507348 34.8615427204429)"
5125,26269,28302,,6,,,"SRID=4326;LINESTRING(-82.6658828963674 34.4430242959345,-82.6553579638341 34.4735816450141)"
12510,5947,22216,,,,,"SRID=4326;LINESTRING(-78.7627854466696 42.9628938221599,-78.7623577643044 42.962270010753)"
1501,27222,30271,230000,3,,,"SRID=4326;LINESTRING(-81.9092279799663 26.7042728152696,-81.8776718975449 26.6969700833472)"
9530,3023,20854,230000,3,,,"SRID=4326;LINESTRING(-71.1923193290687 46.7070374370556,-71.0595898672398 46.501356664)"
22669,7590,19223,230000,,,,"SRID=4326;LINESTRING(-78.8057835045632 35.7992459723727,-78.8017398165287 35.7974747188546)"
26904,1898,20067,230000,3;6;3;3,1,60,"SRID=4326;LINESTRING(-114.834686474039 35.9278066939299,-114.857728766871 35.9254303614945)"
40958,1151,1475,115000,3,1,,"SRID=4326;LINESTRING(-76.8405546791642 39.4636218755622,-76.8294958054355 39.4787321748019)"
21146,26132,26133,230000,12,,60,"SRID=4326;LINESTRING(-92.9142669113339 17.8213397529249,-92.9119887837734 17.8344327942632)"
26911,29553,20071,230000,3,1,60,"SRID=4326;LINESTRING(-114.743171595021 36.0180608195057,-114.794530310339 35.9762708598997)"
40608,1185,1155,230000,6;3;3,1,,"SRID=4326;LINESTRING(-76.5869347795511 39.1464030516893,-76.6769032186004 39.0459502454882)"
36215,28835,228,138000,6,,60,"SRID=4326;LINESTRING(-96.5477364381825 32.8369888047865,-96.653249384902 32.857505257966)"
23312,27174,27177,230000;138000,3,1,60,"SRID=4326;LINESTRING(-81.7836747646182 26.631329607272,-81.7845058859191 26.6701777152103)"
31095,30951,7644,230000,3,,60,"SRID=4326;LINESTRING(-121.363158788048 47.2661368586061,-121.757081332478 47.2681858063251)"
27789,3880,3885,230000,6,,,"SRID=4326;LINESTRING(-111.941983967192 33.3518168056261,-111.965291916242 33.2918690849065)"
22875,26982,26983,,,,,"SRID=4326;LINESTRING(-96.8724563250662 19.5086785707845,-96.8728009188091 19.5093785723928)"
40283,802,808,500000,3,3,60,"SRID=4326;LINESTRING(-77.288742922831 38.7236183934403,-77.269124028842 38.7131281826996)"
14459,8111,23058,345000,3,2,60,"SRID=4326;LINESTRING(-91.4602500336394 38.9215065000016,-90.8618849037277 38.5401754179566)"
32196,8699,8698,345000,3;6;3;3;6,2,60,"SRID=4326;LINESTRING(-90.5089691408193 38.4952473236756,-90.4513569324456 38.2137541632712)"
28252,21531,4463,230000,6;3;3,,60,"SRID=4326;LINESTRING(-96.7888240704299 16.9033715954469,-96.7880843992933 17.1228549728166)"
10981,21547,21548,,3,,,"SRID=4326;LINESTRING(-119.669357316221 34.457496208128,-119.564667922504 34.4555111761726)"
5311,23435,28407,,3;6,,,"SRID=4326;LINESTRING(-111.807119591604 43.5051492138201,-112.121591533509 43.3078464885291)"
9123,3230,20643,,,,,"SRID=4326;LINESTRING(-69.0468626842618 47.9425383213835,-69.3042323048981 47.8981388032349)"
5130,14522,28305,,3,,,"SRID=4326;LINESTRING(-82.7037972368216 34.5400155095834,-82.7009654919752 34.5386256119357)"
31591,8080,8149,345000,3,,60,"SRID=4326;LINESTRING(-90.3539415776192 41.5257073644435,-90.5858510349775 41.3977136032863)"
33042,7463,9628,230000,6,,60,"SRID=4326;LINESTRING(-115.330005040858 36.334470006036,-115.34463042424 36.1826528137832)"
16441,2786,23961,,,,,"SRID=4326;LINESTRING(-83.6519310532028 42.2699438541767,-83.6668501951392 42.2378748961339)"
16407,15157,23945,230000,6,,60,"SRID=4326;LINESTRING(-91.1830018996627 30.5191866168749,-91.1754389790407 30.5511357882364)"
32746,9293,9295,,3,,,"SRID=4326;LINESTRING(-84.6730626670408 34.2435634048719,-84.7401484116392 34.2208961213743)"
14083,28778,22883,115000,6,,60,"SRID=4326;LINESTRING(-101.843150194482 33.8681615397114,-101.861989209577 33.8695030142185)"
12885,6265,22376,,,,,"SRID=4326;LINESTRING(-97.6538752114652 47.2399524913843,-97.6791383298084 47.2685492614767)"
33484,641,10097,230000,3,,60,"SRID=4326;LINESTRING(-87.764103151779 30.5540086733028,-87.8442435337767 30.6748039513398)"
26347,18355,19803,220000,3,2,,"SRID=4326;LINESTRING(-117.667403315067 33.7730354135826,-117.667566718617 33.7743125212462)"
25582,19440,19458,,6,2,,"SRID=4326;LINESTRING(-121.982098671444 36.9943611971936,-121.974788810483 37.0130640943594)"
23001,27027,27030,,3,,,"SRID=4326;LINESTRING(-103.161444039716 34.3903241761644,-103.161446734662 34.3943545891982)"
6510,5881,28765,230000,3,,,"SRID=4326;LINESTRING(-81.268190151248 29.4975533424997,-81.5860774702228 29.6304152800832)"
15266,9089,23445,345000;161000,6,,60,"SRID=4326;LINESTRING(-91.7869493106273 46.2369159806711,-92.0153492169849 46.6392684829601)"
40183,246,711,,,,,"SRID=4326;LINESTRING(-112.001511020641 41.1599199464448,-112.005224879026 41.1564980290802)"
30484,4957,7048,230000,3,,,"SRID=4326;LINESTRING(-106.32544068361 39.1887276929245,-106.047511056119 39.2678763697574)"
20236,5890,25735,230000,6,,,"SRID=4326;LINESTRING(-83.0571384960164 42.255174723658,-83.0578909776928 42.2526876157283)"
33958,791,10666,,,,,"SRID=4326;LINESTRING(-75.3581629148416 40.6204211848865,-75.3566312601452 40.6169972721796)"
38889,3760,16303,,3,,,"SRID=4326;LINESTRING(-96.0810369931185 41.518732285022,-96.112523653152 41.5355047890016)"
36804,26162,14224,,,,,"SRID=4326;LINESTRING(-111.910593834236 33.2910620829026,-111.910588254597 33.3031901998055)"
21443,26273,26276,,6,,,"SRID=4326;LINESTRING(-82.693434675289 34.5418012972398,-82.6935070795009 34.5407871844606)"
8676,1441,18240,,,,,"SRID=4326;LINESTRING(-79.466051604815 40.9281753519885,-79.4598455936746 40.9272563106007)"
38522,20514,15947,,3,,,"SRID=4326;LINESTRING(-104.917693090146 39.6794053917377,-104.958388844791 39.6831822740132)"
36254,13289,239,,,,,"SRID=4326;LINESTRING(-90.1831961856521 38.6374233945627,-90.1786864438779 38.6003274071942)"
22653,26857,26859,,,,,"SRID=4326;LINESTRING(-101.63743410407 36.7913619019708,-101.636808786801 36.791345355991)"
18317,11849,24795,,2,,,"SRID=4326;LINESTRING(-112.212414336975 33.5412506066747,-112.21165432024 33.5527203541629)"
37217,15885,386,765000,,,,"SRID=4326;LINESTRING(-82.3308451292826 39.0855712272077,-83.4299444400727 40.3330964411814)"
40110,19407,653,230000,3;6;3;3;6,,60,"SRID=4326;LINESTRING(-87.883319895595 42.8322476788789,-87.8347710924705 42.8426037574587)"
36145,30332,13507,230000,6;3;3,,60,"SRID=4326;LINESTRING(-82.6537134955725 28.1863213515552,-82.6831181787297 28.2033588785877)"
37362,407,417,345000,6,,,"SRID=4326;LINESTRING(-112.047483977627 41.3398870045286,-112.055439610181 41.3043938086688)"
1015,18548,30073,,,,,"SRID=4326;LINESTRING(-82.0316618853217 38.9477500035168,-82.0611773454926 38.9627530928325)"
31831,1047,8339,230000,3,,,"SRID=4326;LINESTRING(-83.0787567592735 34.2453539588498,-83.2408726886651 34.1628702592456)"
37482,14847,14842,230000,3,,60,"SRID=4326;LINESTRING(-93.8972246505424 29.9617856867639,-93.8899277057535 29.945671967105)"
35929,12855,13288,,,,,"SRID=4326;LINESTRING(-81.0429943325385 46.5049117605433,-81.1677289079174 46.4821544537523)"
5490,20520,28461,230000,6,,60,"SRID=4326;LINESTRING(-76.7172352221722 40.1522350793779,-76.7241813065241 40.1529815652027)"
